Date,Momentum (UMD),Value (HML FF),Size (SMB)
1/1/1985,0.00000,0.00000,0.00000
1/2/1985,-0.00380,0.00290,0.00870
1/3/1985,-0.00050,0.00020,0.00480
1/4/1985,0.00050,-0.00020,0.00500
1/7/1985,-0.00210,0.00110,-0.00080
1/8/1985,-0.00130,0.00180,0.00190
1/9/1985,-0.00340,-0.00210,-0.00180
1/10/1985,-0.01080,-0.00800,-0.00650
1/11/1985,-0.00140,-0.00270,0.00610
1/14/1985,-0.00980,-0.00920,-0.00040
1/15/1985,-0.00100,-0.00210,0.00340
1/16/1985,-0.00300,-0.00100,0.00400
1/17/1985,-0.00160,-0.00110,0.00660
1/18/1985,-0.00230,0.00020,0.00350
1/21/1985,-0.01480,-0.01020,-0.00780
1/22/1985,-0.00040,-0.00170,0.00150
1/23/1985,-0.00410,-0.00740,-0.00270
1/24/1985,0.00080,-0.00320,0.00510
1/25/1985,-0.00270,-0.00410,0.00150
1/28/1985,-0.00170,-0.00620,0.00540
1/29/1985,-0.00450,-0.00280,-0.00230
1/30/1985,-0.00290,-0.00160,0.00480
1/31/1985,0.00150,0.00530,0.00150
2/1/1985,-0.00010,0.00410,0.00380
2/4/1985,-0.00280,-0.00450,-0.00400
2/5/1985,0.00000,-0.00090,0.00440
2/6/1985,-0.00390,-0.00230,0.00540
2/7/1985,-0.00320,-0.00370,0.00120
2/8/1985,-0.00080,0.00070,0.00310
2/11/1985,-0.00030,0.00220,0.00650
2/12/1985,0.00070,0.00300,-0.00010
2/13/1985,-0.00240,-0.00160,-0.00710
2/14/1985,0.00720,0.00180,0.00380
2/15/1985,0.00400,0.00020,0.00140
2/18/1985,0.00000,0.00000,0.00000
2/19/1985,0.00350,0.00100,-0.00120
2/20/1985,0.00010,-0.00210,0.00250
2/21/1985,0.00250,0.00260,0.00130
2/22/1985,0.00210,0.00360,0.00000
2/25/1985,0.00600,0.00320,-0.00500
2/26/1985,-0.00130,-0.00530,-0.00540
2/27/1985,0.00340,0.00080,0.00090
2/28/1985,0.00070,-0.00330,-0.00160
3/1/1985,0.00290,-0.00370,-0.00260
3/4/1985,0.00300,0.00200,0.00350
3/5/1985,0.00220,0.00260,-0.00070
3/6/1985,0.00120,0.00570,0.00380
3/7/1985,0.00100,0.00700,0.00220
3/8/1985,0.00040,0.00280,0.00020
3/11/1985,0.00210,0.00090,-0.00260
3/12/1985,0.00120,0.00290,-0.00510
3/13/1985,0.00190,0.00830,0.00080
3/14/1985,0.00100,0.00120,0.00020
3/15/1985,0.00120,-0.00150,0.00510
3/18/1985,0.00020,0.00150,-0.00490
3/19/1985,-0.00130,-0.00720,-0.00890
3/20/1985,0.00330,0.00190,0.00000
3/21/1985,0.00160,0.00150,-0.00070
3/22/1985,-0.00080,0.00260,-0.00040
3/25/1985,0.00050,0.00750,-0.00170
3/26/1985,-0.00120,0.00090,-0.00330
3/27/1985,-0.00080,-0.00190,-0.00250
3/28/1985,0.00020,0.00160,0.00160
3/29/1985,-0.00250,0.00300,-0.00160
4/1/1985,0.00270,0.00050,-0.00200
4/2/1985,0.00320,0.00300,0.00230
4/3/1985,0.00060,0.00510,0.00150
4/4/1985,-0.00100,0.00140,-0.00020
4/5/1985,0.00000,0.00000,0.00000
4/8/1985,0.00130,0.00550,0.00190
4/9/1985,0.00170,0.00130,-0.00140
4/10/1985,0.00200,-0.00290,-0.00110
4/11/1985,0.00240,0.00010,-0.00070
4/12/1985,0.00080,0.00090,-0.00060
4/15/1985,0.00040,0.00140,-0.00120
4/16/1985,0.00070,-0.00090,-0.00050
4/17/1985,0.00130,-0.00020,0.00010
4/18/1985,0.00330,0.00360,0.00310
4/19/1985,0.00170,0.00220,-0.00260
4/22/1985,0.00220,0.00230,-0.00100
4/23/1985,0.00250,-0.00040,-0.00540
4/24/1985,0.00010,0.00080,-0.00210
4/25/1985,0.00050,0.00310,-0.00420
4/26/1985,0.00060,-0.00030,0.00530
4/29/1985,-0.00340,0.00710,0.00130
4/30/1985,-0.00050,0.00400,-0.00020
5/1/1985,-0.00410,0.00490,0.00390
5/2/1985,-0.00170,0.00290,-0.00510
5/3/1985,0.00150,-0.00180,-0.00330
5/6/1985,0.00320,0.00230,-0.00140
5/7/1985,0.00200,-0.00250,-0.00270
5/8/1985,0.00370,-0.00220,0.00130
5/9/1985,0.00300,-0.00360,-0.00200
5/10/1985,0.00260,-0.00820,-0.00210
5/13/1985,0.00050,-0.00470,-0.00070
5/14/1985,0.00380,0.00470,0.00100
5/15/1985,0.00150,0.00020,-0.00230
5/16/1985,0.00450,-0.00040,-0.00340
5/17/1985,0.00050,-0.00380,-0.00280
5/20/1985,0.00160,-0.00570,-0.00510
5/21/1985,-0.00250,-0.00270,-0.00080
5/22/1985,0.00070,0.00040,0.00290
5/23/1985,0.00110,0.00320,0.00300
5/24/1985,0.00250,0.00000,-0.00240
5/27/1985,0.00000,0.00000,0.00000
5/28/1985,0.00550,0.00310,-0.00140
5/29/1985,0.00310,-0.00060,0.00080
5/30/1985,0.00150,0.00310,-0.00130
5/31/1985,0.00090,0.00130,-0.00470
6/3/1985,0.00580,-0.00060,0.00010
6/4/1985,0.00440,-0.00150,-0.00290
6/5/1985,0.00860,0.00110,0.00060
6/6/1985,0.00260,-0.00160,-0.00360
6/7/1985,0.00320,0.00180,0.00390
6/10/1985,-0.00160,0.00300,-0.00260
6/11/1985,0.00270,0.00350,0.00100
6/12/1985,0.00360,0.00810,0.00340
6/13/1985,0.00260,0.00640,0.00380
6/14/1985,0.00050,0.00020,-0.00530
6/17/1985,0.00610,0.00200,0.00010
6/18/1985,0.00540,0.00360,-0.00230
6/19/1985,0.00130,-0.00060,0.00260
6/20/1985,-0.00050,0.00190,-0.00020
6/21/1985,-0.00220,-0.00090,-0.00720
6/24/1985,-0.00040,-0.00590,0.00130
6/25/1985,-0.00500,-0.00680,0.00270
6/26/1985,-0.00250,-0.00300,-0.00010
6/27/1985,0.00030,-0.00240,-0.00120
6/28/1985,0.00220,0.00020,0.00100
7/1/1985,-0.00110,-0.00050,-0.00110
7/2/1985,0.00260,0.00170,0.00240
7/3/1985,0.00350,0.00150,0.00280
7/4/1985,0.00000,0.00000,0.00000
