Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_TFTASD,UK FTSE All-Share Return Index (w/GFD extension),Total Return Indices - Stocks,United Kingdom Pound,United Kingdom,,,,,,,Index Number,Units,Stock,none,Monthly From Jun 1933 To Dec 1964<BR>Daily From Dec 1964 To Feb 2019<BR>,"Sources: Thorold Rogers, A History of Prices in England, (1693-1697), Larry Neal, The Rise of Financial Capitalism: International Capital Markets in the Age of Reason, New York: Cambridge Univ. Press, 1990 (1698-January 1811), W. W. Rostow and Anna J. Schwartz, The Growth and Fluctuation of the British Economy 1790-1850), (2 vols.), Oxford: Oxford U.P., 1953, p. 368, (February 1811-December 1850), Hayek as given in Rostow, ibid., p. 456 (January 1851-June 1867), K.C. Smith and G.F. Horne, An Index Number of Securities, 1867-1914, London and Cambridge Economic Service Special Memorandum No. 37, (July 1867-December 1906), Banker`s Magazine (January 1907-May 1933), Economist (1933-1962), Financial Times (1950-); Journal of the Institute of Actuaries, (LXII), part 2, no. 304, pp. 321-331, New York Stock Exchange Bulletin (1929-1938), Central Statistical Office Annual Abstract of Statistics, London: CSO (1939-1988), Eurostat (1989-) <BR>Notes: The stock index uses Bank of England shares exclusively from 1694 to 1707, Bank of England Shares and East Indies Co. from 1708 to March 1874, and Bank of England shares exclusively from April 1874 to 1922. From 1923 until 1929, an index of stock yields using 5% as the base was used, and from 1930 on actual dividend yields are used. Yield data from 1923 until the present were calculated by the Actuaries for a broad index of shares. The stock price index uses the Banker's Magazine Index of All Variable Dividend shares from 1922 until 1932, the Actuaries General Share index from 1932 to 1962 and the All-Share index from 1964 on.  The Financial Times now calculates a total return index; however, this index only dates back to 1992.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
06/30/1933,_TFTASD,0.9313,0.9313,0.9313,0.9313,0,
07/31/1933,_TFTASD,0.9928,0.9928,0.9928,0.9928,0,
08/31/1933,_TFTASD,1.0605,1.0605,1.0605,1.0605,0,
09/30/1933,_TFTASD,1.0952,1.0952,1.0952,1.0952,0,
10/31/1933,_TFTASD,1.0759,1.0759,1.0759,1.0759,0,
11/30/1933,_TFTASD,1.1314,1.1314,1.1314,1.1314,0,
12/31/1933,_TFTASD,1.0977,1.0977,1.0977,1.0977,0,
01/31/1934,_TFTASD,1.1167,1.1167,1.1167,1.1167,0,
02/28/1934,_TFTASD,1.1405,1.1405,1.1405,1.1405,0,
03/31/1934,_TFTASD,1.1548,1.1548,1.1548,1.1548,0,
04/30/1934,_TFTASD,1.1771,1.1771,1.1771,1.1771,0,
05/31/1934,_TFTASD,1.1947,1.1947,1.1947,1.1947,0,
06/30/1934,_TFTASD,1.1766,1.1766,1.1766,1.1766,0,
07/31/1934,_TFTASD,1.1536,1.1536,1.1536,1.1536,0,
08/31/1934,_TFTASD,1.1321,1.1321,1.1321,1.1321,0,
09/30/1934,_TFTASD,1.1662,1.1662,1.1662,1.1662,0,
10/31/1934,_TFTASD,1.1939,1.1939,1.1939,1.1939,0,
11/30/1934,_TFTASD,1.1937,1.1937,1.1937,1.1937,0,
12/31/1934,_TFTASD,1.2265,1.2265,1.2265,1.2265,0,
01/31/1935,_TFTASD,1.2236,1.2236,1.2236,1.2236,0,
02/28/1935,_TFTASD,1.2673,1.2673,1.2673,1.2673,0,
03/31/1935,_TFTASD,1.2148,1.2148,1.2148,1.2148,0,
04/30/1935,_TFTASD,1.1753,1.1753,1.1753,1.1753,0,
05/31/1935,_TFTASD,1.2278,1.2278,1.2278,1.2278,0,
06/30/1935,_TFTASD,1.2754,1.2754,1.2754,1.2754,0,
07/31/1935,_TFTASD,1.3082,1.3082,1.3082,1.3082,0,
08/31/1935,_TFTASD,1.3107,1.3107,1.3107,1.3107,0,
09/30/1935,_TFTASD,1.2979,1.2979,1.2979,1.2979,0,
10/31/1935,_TFTASD,1.2646,1.2646,1.2646,1.2646,0,
11/30/1935,_TFTASD,1.3079,1.3079,1.3079,1.3079,0,
12/31/1935,_TFTASD,1.3736,1.3736,1.3736,1.3736,0,
01/31/1936,_TFTASD,1.3897,1.3897,1.3897,1.3897,0,
02/29/1936,_TFTASD,1.4559,1.4559,1.4559,1.4559,0,
03/31/1936,_TFTASD,1.4638,1.4638,1.4638,1.4638,0,
04/30/1936,_TFTASD,1.437,1.437,1.437,1.437,0,
05/31/1936,_TFTASD,1.4606,1.4606,1.4606,1.4606,0,
06/30/1936,_TFTASD,1.4303,1.4303,1.4303,1.4303,0,
07/31/1936,_TFTASD,1.4557,1.4557,1.4557,1.4557,0,
08/31/1936,_TFTASD,1.4935,1.4935,1.4935,1.4935,0,
09/30/1936,_TFTASD,1.5332,1.5332,1.5332,1.5332,0,
10/31/1936,_TFTASD,1.559,1.559,1.559,1.559,0,
11/30/1936,_TFTASD,1.6026,1.6026,1.6026,1.6026,0,
12/31/1936,_TFTASD,1.6218,1.6218,1.6218,1.6218,0,
01/31/1937,_TFTASD,1.6196,1.6196,1.6196,1.6196,0,
02/28/1937,_TFTASD,1.6196,1.6196,1.6196,1.6196,0,
03/31/1937,_TFTASD,1.5641,1.5641,1.5641,1.5641,0,
04/30/1937,_TFTASD,1.5587,1.5587,1.5587,1.5587,0,
05/31/1937,_TFTASD,1.5226,1.5226,1.5226,1.5226,0,
06/30/1937,_TFTASD,1.5463,1.5463,1.5463,1.5463,0,
07/31/1937,_TFTASD,1.5046,1.5046,1.5046,1.5046,0,
08/31/1937,_TFTASD,1.5174,1.5174,1.5174,1.5174,0,
09/30/1937,_TFTASD,1.5304,1.5304,1.5304,1.5304,0,
10/31/1937,_TFTASD,1.4848,1.4848,1.4848,1.4848,0,
11/30/1937,_TFTASD,1.4336,1.4336,1.4336,1.4336,0,
12/31/1937,_TFTASD,1.3671,1.3671,1.3671,1.3671,0,
01/31/1938,_TFTASD,1.3763,1.3763,1.3763,1.3763,0,
02/28/1938,_TFTASD,1.3767,1.3767,1.3767,1.3767,0,
03/31/1938,_TFTASD,1.306,1.306,1.306,1.306,0,
04/30/1938,_TFTASD,1.2324,1.2324,1.2324,1.2324,0,
05/31/1938,_TFTASD,1.3164,1.3164,1.3164,1.3164,0,
06/30/1938,_TFTASD,1.2216,1.2216,1.2216,1.2216,0,
07/31/1938,_TFTASD,1.2736,1.2736,1.2736,1.2736,0,
08/31/1938,_TFTASD,1.2858,1.2858,1.2858,1.2858,0,
09/30/1938,_TFTASD,1.2307,1.2307,1.2307,1.2307,0,
10/31/1938,_TFTASD,1.1296,1.1296,1.1296,1.1296,0,
11/30/1938,_TFTASD,1.2467,1.2467,1.2467,1.2467,0,
12/31/1938,_TFTASD,1.2413,1.2413,1.2413,1.2413,0,
01/31/1939,_TFTASD,1.2163,1.2163,1.2163,1.2163,0,
02/28/1939,_TFTASD,1.1744,1.1744,1.1744,1.1744,0,
03/31/1939,_TFTASD,1.2679,1.2679,1.2679,1.2679,0,
04/30/1939,_TFTASD,1.2402,1.2402,1.2402,1.2402,0,
05/31/1939,_TFTASD,1.1975,1.1975,1.1975,1.1975,0,
06/30/1939,_TFTASD,1.3024,1.3024,1.3024,1.3024,0,
07/31/1939,_TFTASD,1.2576,1.2576,1.2576,1.2576,0,
08/31/1939,_TFTASD,1.2557,1.2557,1.2557,1.2557,0,
09/30/1939,_TFTASD,1.1908,1.1908,1.1908,1.1908,0,
10/31/1939,_TFTASD,1.197,1.197,1.197,1.197,0,
11/30/1939,_TFTASD,1.3379,1.3379,1.3379,1.3379,0,
12/31/1939,_TFTASD,1.3284,1.3284,1.3284,1.3284,0,
01/31/1940,_TFTASD,1.3233,1.3233,1.3233,1.3233,0,
02/29/1940,_TFTASD,1.3344,1.3344,1.3344,1.3344,0,
03/31/1940,_TFTASD,1.4356,1.4356,1.4356,1.4356,0,
04/30/1940,_TFTASD,1.4118,1.4118,1.4118,1.4118,0,
05/31/1940,_TFTASD,1.389,1.389,1.389,1.389,0,
06/30/1940,_TFTASD,1.1943,1.1943,1.1943,1.1943,0,
07/31/1940,_TFTASD,0.945,0.945,0.945,0.945,0,
08/31/1940,_TFTASD,1.0441,1.0441,1.0441,1.0441,0,
09/30/1940,_TFTASD,1.0996,1.0996,1.0996,1.0996,0,
