Date,CS_Liquid
2/15/19,1048.85
2/14/19,1052.63
2/13/19,1049.27
2/12/19,1049.67
2/11/19,1056.28
2/10/19,1058.44
2/9/19,1058.44
2/8/19,1058.44
2/7/19,1053.71
2/6/19,1046.32
2/5/19,1045.12
2/4/19,1046.04
2/3/19,1048
2/2/19,1048
2/1/19,1048
1/31/19,1051.04
1/30/19,1048.34
1/29/19,1055.87
1/28/19,1056.26
1/27/19,1050.15
1/26/19,1050.15
1/25/19,1050.15
1/24/19,1060.75
1/23/19,1056.08
1/22/19,1058.66
1/21/19,1048.89
1/20/19,1048.89
1/19/19,1048.89
1/18/19,1048.89
1/17/19,1058.4
1/16/19,1062.47
1/15/19,1065.72
1/14/19,1067.59
1/13/19,1064.01
1/12/19,1064.01
1/11/19,1064.01
1/10/19,1065.24
1/9/19,1062.26
1/8/19,1069.67
1/7/19,1078.26
1/6/19,1088.14
1/5/19,1088.14
1/4/19,1088.14
1/3/19,1115.53
1/2/19,1109.95
1/1/19,1097.07
12/31/18,1097.07
12/30/18,1096.23
12/29/18,1096.23
12/28/18,1096.23
12/27/18,1100.44
12/26/18,1096.64
12/25/18,1099.12
12/24/18,1099.12
12/23/18,1092.38
12/22/18,1092.38
12/21/18,1092.38
12/20/18,1084.07
12/19/18,1076.48
12/18/18,1074.89
12/17/18,1065.08
12/16/18,1063.22
12/15/18,1063.22
12/14/18,1063.22
12/13/18,1047.46
12/12/18,1048.12
12/11/18,1064.51
12/10/18,1069.61
12/9/18,1051.07
12/8/18,1051.07
12/7/18,1051.07
12/6/18,1060.13
12/5/18,1031.67
12/4/18,1031.67
12/3/18,1021.64
12/2/18,1035.23
12/1/18,1035.23
11/30/18,1035.23
11/29/18,1032
11/28/18,1028.46
11/27/18,1042.91
11/26/18,1036.51
11/25/18,1040.82
11/24/18,1040.82
11/23/18,1040.82
11/22/18,1038.36
11/21/18,1038.36
11/20/18,1046.19
11/19/18,1034.07
11/18/18,1028.37
11/17/18,1028.37
11/16/18,1028.37
11/15/18,1036.58
11/14/18,1034.17
11/13/18,1035.32
11/12/18,1041.9
11/11/18,1029.54
11/10/18,1029.54
11/9/18,1029.54
11/8/18,1016
11/7/18,1010.54
11/6/18,1021.26
11/5/18,1021.44
11/4/18,1018
11/3/18,1018
11/2/18,1018
11/1/18,1023.17
10/31/18,1044.46
10/30/18,1050.19
10/29/18,1047.02
10/28/18,1048.57
10/27/18,1048.57
10/26/18,1048.57
10/25/18,1046.69
10/24/18,1047.43
10/23/18,1045.51
10/22/18,1048.52
10/21/18,1048.35
10/20/18,1048.35
10/19/18,1048.35
10/18/18,1047.46
10/17/18,1047.01
10/16/18,1041.05
10/15/18,1038.77
10/14/18,1045.88
10/13/18,1045.88
10/12/18,1045.88
10/11/18,1045.73
10/10/18,1062.75
10/9/18,1066.25
10/8/18,1070.72
10/7/18,1068.1
10/6/18,1068.1
10/5/18,1068.1
10/4/18,1072.79
10/3/18,1071.45
10/2/18,1062.72
10/1/18,1064.04
9/30/18,1059.15
9/29/18,1059.15
9/28/18,1059.15
9/27/18,1057.3
9/26/18,1048.14
9/25/18,1052.17
9/24/18,1052.44
9/23/18,1047.71
9/22/18,1047.71
9/21/18,1047.71
9/20/18,1048.02
9/19/18,1055.54
9/18/18,1060.77
9/17/18,1056.97
9/16/18,1058.42
9/15/18,1058.42
9/14/18,1058.42
9/13/18,1053.78
9/12/18,1057.29
9/11/18,1065.85
9/10/18,1059.39
9/9/18,1063.67
9/8/18,1063.67
9/7/18,1063.67
9/6/18,1060.64
9/5/18,1064.09
