Date,U.S. Large Cap,U.S. Small Cap
1/31/1980,0.120377,0.111434
2/29/1980,0.071722,0.01063
3/31/1980,-0.163214,-0.206128
4/30/1980,0.054521,0.081259
5/31/1980,0.045035,0.073112
6/30/1980,0.058279,0.058081
7/31/1980,0.06393,0.120136
8/31/1980,0.028491,0.094634
9/30/1980,0.062725,0.052833
10/31/1980,0.054729,0.082723
11/30/1980,0.200092,0.126546
12/31/1980,-0.074164,-0.043959
1/31/1981,-0.098879,-0.039399
2/28/1981,-0.002186,-0.010617
3/31/1981,0.012143,0.080222
4/30/1981,-0.034878,0.030112
5/31/1981,0.008906,0.048771
6/30/1981,-0.019874,-0.033679
7/31/1981,-0.018202,-0.030925
8/31/1981,-0.075413,-0.102913
9/30/1981,-0.050057,-0.080958
10/31/1981,0.081667,0.104292
11/30/1981,0.036094,0.03637
12/31/1981,-0.026551,-0.014958
1/31/1982,-0.009974,-0.035004
2/28/1982,-0.03019,-0.029076
3/31/1982,0.013024,0.002052
4/30/1982,0.041581,0.060806
5/31/1982,-0.034777,-0.010611
6/30/1982,-0.00848,-0.012594
7/31/1982,0.004864,0.002902
8/31/1982,0.106675,0.067493
9/30/1982,0.02114,0.056779
10/31/1982,0.107821,0.151625
11/30/1982,0.062111,0.106316
12/31/1982,0.019329,0.010372
1/31/1983,0.02537,0.073519
2/28/1983,0.048427,0.071355
3/31/1983,0.039206,0.055103
4/30/1983,0.086231,0.088254
5/31/1983,0.002505,0.080572
6/30/1983,0.056826,0.050382
7/31/1983,-0.040517,-0.04202
8/31/1983,-0.026315,-0.055487
9/30/1983,0.019088,0.017128
10/31/1983,-0.047174,-0.088591
11/30/1983,0.030076,0.062819
12/31/1983,-0.006949,-0.031125
1/31/1984,-0.033638,-0.020633
2/29/1984,-0.048018,-0.059994
3/31/1984,0.025375,0.015002
4/30/1984,0.01066,0.001351
5/31/1984,-0.055888,-0.042618
6/30/1984,0.01262,0.019042
7/31/1984,-0.022926,-0.016985
8/31/1984,0.109835,0.084763
9/30/1984,0.018733,0.020863
10/31/1984,0.009553,0.005619
11/30/1984,-0.009532,-0.008944
12/31/1984,0.028467,0.026528
1/31/1985,0.052925,0.090515
2/28/1985,0.029254,0.033895
3/31/1985,0.028652,0.011997
4/30/1985,0.007394,0.006304
5/31/1985,0.076988,0.04419
6/30/1985,0.032902,0.021432
7/31/1985,-0.027079,0.015957
8/31/1985,0.001942,0.000347
9/30/1985,-0.048336,-0.049132
10/31/1985,0.064185,0.065792
11/30/1985,0.077097,0.075662
12/31/1985,0.041981,0.045802
1/31/1986,0.029631,0.041736
2/28/1986,0.083283,0.092243
3/31/1986,0.076219,0.047124
4/30/1986,-0.020192,0.02109
5/31/1986,0.065776,0.049908
6/30/1986,0.027535,0.029209
7/31/1986,-0.056967,-0.085397
8/31/1986,0.049853,0.026515
9/30/1986,-0.108503,-0.080576
10/31/1986,0.06796,0.044424
11/30/1986,0.01277,-0.008295
12/31/1986,-0.023246,-0.031783
1/31/1987,0.146107,0.109802
2/28/1987,0.034548,0.078981
3/31/1987,0.016566,0.017142
4/30/1987,-0.008044,-0.0264
5/31/1987,0.010773,-0.010979
6/30/1987,0.052445,0.027555
7/31/1987,0.052913,0.046498
8/31/1987,0.039149,0.024148
9/30/1987,-0.012789,-0.012447
10/31/1987,-0.238253,-0.327289
11/30/1987,-0.085808,-0.05226
12/31/1987,0.093203,0.097188
1/31/1988,0.018752,0.028489
2/29/1988,0.049989,0.071773
3/31/1988,-0.022581,0.042575
4/30/1988,0.013887,0.027152
5/31/1988,0.004973,-0.020336
6/30/1988,0.042469,0.06661
7/31/1988,-0.004779,-0.000983
8/31/1988,-0.029335,-0.022992
9/30/1988,0.036507,0.01934
10/31/1988,0.023854,-0.002758
11/30/1988,-0.013958,-0.023241
12/31/1988,0.013323,0.032977
1/31/1989,0.068901,0.047184
2/28/1989,-0.011052,0.007997
3/31/1989,0.037384,0.036945
