,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,USBond10Y,USEq,BAB,CS,UMD_Large,UMD_Small
1786-07-31,,,,,,,,,0.0575812,,,,,
1786-08-31,,,,,,,,,0.0575812,,,,,
1786-09-30,,,,,,,,,0.0575812,,,,,
1786-10-31,,,,,,,,,0.0575812,,,,,
1786-11-30,,,,,,,,,0.0575812,,,,,
1786-12-31,,,,,,,,,0.0575812,,,,,
1787-01-31,,,,,,,,,0.0575812,,,,,
1787-02-28,,,,,,,,,0.0556619,,,,,
1787-03-31,,,,,,,,,0.0556619,,,,,
1787-04-30,,,,,,,,,0.0556619,,,,,
1787-05-31,,,,,,,,,0.0556619,,,,,
1787-06-30,,,,,,,,,0.0556619,,,,,
1787-07-31,,,,,,,,,0.0556619,,,,,
1787-08-31,,,,,,,,,0.0556619,,,,,
1787-09-30,,,,,,,,,0.0556619,,,,,
1787-10-31,,,,,,,,,0.0556619,,,,,
1787-11-30,,,,,,,,,0.0556619,,,,,
1787-12-31,,,,,,,,,0.0556619,,,,,
1788-01-31,,,,,,,,,0.0556619,,,,,
1788-02-29,,,,,,,,,0.0556619,,,,,
1788-03-31,,,,,,,,,0.0374278,,,,,
1788-04-30,,,,,,,,,0.0403069,,,,,
1788-05-31,,,,,,,,,0.0403069,,,,,
1788-06-30,,,,,,,,,0.0403069,,,,,
1788-07-31,,,,,,,,,0.0403069,,,,,
1788-08-31,,,,,,,,,0.0403069,,,,,
1788-09-30,2.6355642000000005e-12,,,,,,,,0.0403069,,,,,
1788-10-31,2.6355642000000005e-12,,,,,,,,0.0403069,,,,,
1788-11-30,2.6172617000000007e-12,,,,,,,,0.0403069,,,,,
1788-12-31,2.7700944e-12,,,,,,,,0.0403069,,,,,
1789-01-31,2.7700944e-12,,,,,,,,0.0409518,,,,,
1789-02-28,2.7700944e-12,,,,,,,,0.0409518,,,,,
1789-03-31,2.7318862000000002e-12,,,,,,,,0.0409518,,,,,
1789-04-30,2.7127821e-12,,,,,,,,0.044145599999999986,,,,,
1789-05-31,2.7414383e-12,,,,,,,,0.046065,,,,,
1789-06-30,2.8610648e-12,,,,,,,,0.046065,,,,,
1789-07-31,2.8710335999999998e-12,,,,,,,,0.046065,,,,,
1789-08-31,2.8710335999999998e-12,,,,,,,,0.046065,,,,,
1789-09-30,2.9009402e-12,,,,,,,,0.0575812,,,,,
1789-10-31,2.9009402e-12,,,,,,,,0.06398430000000001,,,,,
1789-11-30,2.9009402e-12,,,,,,,,0.0671781,,,,,
1789-12-31,3.0257118e-12,,,,,,,,0.076775,,,,,
1790-01-31,3.0257118e-12,,,,,,,,0.076775,,,,,
1790-02-28,3.0309106e-12,,,,,,,,0.07485560000000001,,,,,
1790-03-31,2.9737236e-12,,,,,,,,0.0690975,,,,,
1790-04-30,2.9737236e-12,,,,,,,,0.07293619999999999,,,,,
1790-05-31,2.9945187999999998e-12,,,,,,,,0.0806138,,,,,
1790-06-30,3.1789639e-12,,,,,,,,0.0806138,,,,,
1790-07-31,3.1464147e-12,,,,,,,,0.0844525,,,,,
1790-08-31,3.1464147e-12,,,,,,,,0.08637189999999999,,,,,
1790-09-30,3.135565e-12,,,,,,,,0.0959688,,,,,
1790-10-31,3.135565e-12,,,,,,,,0.0767754,,,,,
1790-11-30,3.1464147e-12,,,,,,,,0.07853330000000001,,,,,
1790-12-31,3.2822311e-12,,,,,,,,0.107692,,,,,
1791-01-31,3.2878900999999997e-12,,,,,,,,0.0969228,,,,,
1791-02-28,3.2878900999999997e-12,,,,,,,,0.0969228,,,,,
1791-03-31,3.2822311e-12,,,,,,,,0.0985655,,,,,
1791-04-30,3.2822311e-12,,,,,,,,0.1017634,,,,,
1791-05-31,3.2822311e-12,,,,,,,,0.1017634,,,,,
1791-06-30,3.2822311e-12,,,,,,,,0.1065486,,,,,
1791-07-31,3.4002968999999998e-12,,,,,,,,0.1371356,,,,,
1791-08-31,3.4121035000000004e-12,,,,,,,,0.1362017,,,,,
1791-09-30,3.4239101e-12,,,,,,,,0.1351776,,,,,
1791-10-31,3.4239101e-12,,,,,,,,0.14081,,,,,
1791-11-30,3.4239101e-12,,,,,,,,0.1445724,,,,,
