Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_N500D,Japan Nikkei 500 Index,Stock Indices - Composites,Japan Yen,Japan,,,,,,,Index Number ,Units,Stock,none,Daily From Mar 1984 To Feb 2019<BR>,,
Date,Ticker,Open,High,Low,Close,Volume,Openint
03/01/1984,_N500D,891.62,891.62,891.62,891.62,0,
03/02/1984,_N500D,896.04,896.04,896.04,896.04,0,
03/05/1984,_N500D,911.19,911.19,911.19,911.19,0,
03/06/1984,_N500D,908.39,908.39,908.39,908.39,0,
03/07/1984,_N500D,902.2,902.2,902.2,902.2,0,
03/08/1984,_N500D,895.71,895.71,895.71,895.71,0,
03/09/1984,_N500D,903.11,903.11,903.11,903.11,0,
03/12/1984,_N500D,909.29,909.29,909.29,909.29,0,
03/13/1984,_N500D,917.53,917.53,917.53,917.53,0,
03/14/1984,_N500D,932.57,932.57,932.57,932.57,0,
03/15/1984,_N500D,935.3,935.3,935.3,935.3,0,
03/16/1984,_N500D,945.36,945.36,945.36,945.36,0,
03/19/1984,_N500D,945.76,945.76,945.76,945.76,0,
03/21/1984,_N500D,941.22,941.22,941.22,941.22,0,
03/22/1984,_N500D,944.66,944.66,944.66,944.66,0,
03/23/1984,_N500D,946.52,946.52,946.52,946.52,0,
03/26/1984,_N500D,943.03,943.03,943.03,943.03,0,
03/27/1984,_N500D,943.45,943.45,943.45,943.45,0,
03/28/1984,_N500D,957.38,957.38,957.38,957.38,0,
03/29/1984,_N500D,962.02,962.02,962.02,962.02,0,
03/30/1984,_N500D,967.15,967.15,967.15,967.15,0,
04/02/1984,_N500D,970.25,970.25,970.25,970.25,0,
04/03/1984,_N500D,959,959,959,959,0,
04/04/1984,_N500D,963.75,963.75,963.75,963.75,0,
04/05/1984,_N500D,958.88,958.88,958.88,958.88,0,
04/06/1984,_N500D,949.1,949.1,949.1,949.1,0,
04/09/1984,_N500D,947.24,947.24,947.24,947.24,0,
04/10/1984,_N500D,949.23,949.23,949.23,949.23,0,
04/11/1984,_N500D,956.11,956.11,956.11,956.11,0,
04/12/1984,_N500D,960.47,960.47,960.47,960.47,0,
04/13/1984,_N500D,964.53,964.53,964.53,964.53,0,
04/16/1984,_N500D,962.68,962.68,962.68,962.68,0,
04/17/1984,_N500D,948.69,948.69,948.69,948.69,0,
04/18/1984,_N500D,944.44,944.44,944.44,944.44,0,
04/19/1984,_N500D,927.31,927.31,927.31,927.31,0,
04/20/1984,_N500D,932.59,932.59,932.59,932.59,0,
04/23/1984,_N500D,937.11,937.11,937.11,937.11,0,
04/24/1984,_N500D,930.55,930.55,930.55,930.55,0,
04/25/1984,_N500D,934.25,934.25,934.25,934.25,0,
04/26/1984,_N500D,940.24,940.24,940.24,940.24,0,
04/27/1984,_N500D,949.35,949.35,949.35,949.35,0,
05/01/1984,_N500D,954.11,954.11,954.11,954.11,0,
05/02/1984,_N500D,964.29,964.29,964.29,964.29,0,
05/04/1984,_N500D,968.39,968.39,968.39,968.39,0,
05/07/1984,_N500D,964.35,964.35,964.35,964.35,0,
05/08/1984,_N500D,955.01,955.01,955.01,955.01,0,
05/09/1984,_N500D,952.33,952.33,952.33,952.33,0,
05/10/1984,_N500D,933.04,933.04,933.04,933.04,0,
05/11/1984,_N500D,924.22,924.22,924.22,924.22,0,
05/14/1984,_N500D,895.14,895.14,895.14,895.14,0,
05/15/1984,_N500D,906.07,906.07,906.07,906.07,0,
05/16/1984,_N500D,905.27,905.27,905.27,905.27,0,
05/17/1984,_N500D,878.8,878.8,878.8,878.8,0,
05/18/1984,_N500D,864.65,864.65,864.65,864.65,0,
05/21/1984,_N500D,865.46,865.46,865.46,865.46,0,
05/22/1984,_N500D,855.71,855.71,855.71,855.71,0,
05/23/1984,_N500D,859.75,859.75,859.75,859.75,0,
05/24/1984,_N500D,880.02,880.02,880.02,880.02,0,
05/25/1984,_N500D,868.37,868.37,868.37,868.37,0,
05/28/1984,_N500D,867.53,867.53,867.53,867.53,0,
05/29/1984,_N500D,875.67,875.67,875.67,875.67,0,
05/30/1984,_N500D,872.8,872.8,872.8,872.8,0,
05/31/1984,_N500D,854.73,854.73,854.73,854.73,0,
06/01/1984,_N500D,850.52,850.52,850.52,850.52,0,
06/04/1984,_N500D,868.99,868.99,868.99,868.99,0,
06/05/1984,_N500D,873.88,873.88,873.88,873.88,0,
06/06/1984,_N500D,871.79,871.79,871.79,871.79,0,
06/07/1984,_N500D,877.47,877.47,877.47,877.47,0,
06/08/1984,_N500D,879.89,879.89,879.89,879.89,0,
06/11/1984,_N500D,880.32,880.32,880.32,880.32,0,
06/12/1984,_N500D,873.93,873.93,873.93,873.93,0,
06/13/1984,_N500D,869.55,869.55,869.55,869.55,0,
06/14/1984,_N500D,857.93,857.93,857.93,857.93,0,
06/15/1984,_N500D,845.55,845.55,845.55,845.55,0,
06/18/1984,_N500D,841.48,841.48,841.48,841.48,0,
06/19/1984,_N500D,849.27,849.27,849.27,849.27,0,
06/20/1984,_N500D,852.83,852.83,852.83,852.83,0,
06/21/1984,_N500D,847.24,847.24,847.24,847.24,0,
06/22/1984,_N500D,846.84,846.84,846.84,846.84,0,
06/25/1984,_N500D,849.51,849.51,849.51,849.51,0,
06/26/1984,_N500D,856.22,856.22,856.22,856.22,0,
06/27/1984,_N500D,866.38,866.38,866.38,866.38,0,
06/28/1984,_N500D,871.22,871.22,871.22,871.22,0,
06/29/1984,_N500D,871.96,871.96,871.96,871.96,0,
07/02/1984,_N500D,871.17,871.17,871.17,871.17,0,
07/03/1984,_N500D,865.23,865.23,865.23,865.23,0,
07/04/1984,_N500D,866.06,866.06,866.06,866.06,0,
07/05/1984,_N500D,867.8,867.8,867.8,867.8,0,
07/06/1984,_N500D,868.54,868.54,868.54,868.54,0,
07/09/1984,_N500D,864.21,864.21,864.21,864.21,0,
07/10/1984,_N500D,867.04,867.04,867.04,867.04,0,
07/11/1984,_N500D,865.83,865.83,865.83,865.83,0,
07/12/1984,_N500D,858.22,858.22,858.22,858.22,0,
07/13/1984,_N500D,849.63,849.63,849.63,849.63,0,
07/16/1984,_N500D,850.83,850.83,850.83,850.83,0,
07/17/1984,_N500D,858.16,858.16,858.16,858.16,0,
07/18/1984,_N500D,856.69,856.69,856.69,856.69,0,
07/19/1984,_N500D,846.84,846.84,846.84,846.84,0,
07/20/1984,_N500D,836.26,836.26,836.26,836.26,0,
07/23/1984,_N500D,820.63,820.63,820.63,820.63,0,
07/24/1984,_N500D,823.87,823.87,823.87,823.87,0,
07/25/1984,_N500D,827.39,827.39,827.39,827.39,0,
07/26/1984,_N500D,839.92,839.92,839.92,839.92,0,
07/27/1984,_N500D,850.16,850.16,850.16,850.16,0,
07/30/1984,_N500D,850.22,850.22,850.22,850.22,0,
07/31/1984,_N500D,846.53,846.53,846.53,846.53,0,
08/01/1984,_N500D,842.58,842.58,842.58,842.58,0,
08/02/1984,_N500D,860.52,860.52,860.52,860.52,0,
08/03/1984,_N500D,881.41,881.41,881.41,881.41,0,
08/06/1984,_N500D,899.54,899.54,899.54,899.54,0,
08/07/1984,_N500D,892.18,892.18,892.18,892.18,0,
08/08/1984,_N500D,888.25,888.25,888.25,888.25,0,
08/09/1984,_N500D,893.59,893.59,893.59,893.59,0,
08/10/1984,_N500D,903.21,903.21,903.21,903.21,0,
08/13/1984,_N500D,904.15,904.15,904.15,904.15,0,
08/14/1984,_N500D,901.45,901.45,901.45,901.45,0,
08/15/1984,_N500D,911.11,911.11,911.11,911.11,0,
08/16/1984,_N500D,913.36,913.36,913.36,913.36,0,
08/17/1984,_N500D,915.98,915.98,915.98,915.98,0,
08/20/1984,_N500D,922.74,922.74,922.74,922.74,0,
08/21/1984,_N500D,918.21,918.21,918.21,918.21,0,
08/22/1984,_N500D,924.65,924.65,924.65,924.65,0,
08/23/1984,_N500D,923.76,923.76,923.76,923.76,0,
08/24/1984,_N500D,923.16,923.16,923.16,923.16,0,
08/27/1984,_N500D,926.2,926.2,926.2,926.2,0,
08/28/1984,_N500D,927.44,927.44,927.44,927.44,0,
08/29/1984,_N500D,931,931,931,931,0,
08/30/1984,_N500D,930.39,930.39,930.39,930.39,0,
08/31/1984,_N500D,929.27,929.27,929.27,929.27,0,
09/03/1984,_N500D,929.16,929.16,929.16,929.16,0,
09/04/1984,_N500D,928.37,928.37,928.37,928.37,0,
09/05/1984,_N500D,920.59,920.59,920.59,920.59,0,
09/06/1984,_N500D,913.31,913.31,913.31,913.31,0,
09/07/1984,_N500D,918.2,918.2,918.2,918.2,0,
09/10/1984,_N500D,915.19,915.19,915.19,915.19,0,
09/11/1984,_N500D,921.57,921.57,921.57,921.57,0,
09/12/1984,_N500D,927.01,927.01,927.01,927.01,0,
09/13/1984,_N500D,933.25,933.25,933.25,933.25,0,
09/14/1984,_N500D,937.24,937.24,937.24,937.24,0,
09/17/1984,_N500D,937.71,937.71,937.71,937.71,0,
09/18/1984,_N500D,932.92,932.92,932.92,932.92,0,
09/19/1984,_N500D,933.59,933.59,933.59,933.59,0,
09/20/1984,_N500D,931.46,931.46,931.46,931.46,0,
09/21/1984,_N500D,931.4,931.4,931.4,931.4,0,
09/25/1984,_N500D,938.66,938.66,938.66,938.66,0,
09/26/1984,_N500D,950.2,950.2,950.2,950.2,0,
09/27/1984,_N500D,950.51,950.51,950.51,950.51,0,
09/28/1984,_N500D,952.5,952.5,952.5,952.5,0,
10/01/1984,_N500D,949.51,949.51,949.51,949.51,0,
10/02/1984,_N500D,939.89,939.89,939.89,939.89,0,
10/03/1984,_N500D,945.82,945.82,945.82,945.82,0,
10/04/1984,_N500D,947.07,947.07,947.07,947.07,0,
10/05/1984,_N500D,954.78,954.78,954.78,954.78,0,
10/08/1984,_N500D,958.77,958.77,958.77,958.77,0,
10/09/1984,_N500D,955.37,955.37,955.37,955.37,0,
10/11/1984,_N500D,960.38,960.38,960.38,960.38,0,
10/12/1984,_N500D,960.97,960.97,960.97,960.97,0,
10/15/1984,_N500D,974.09,974.09,974.09,974.09,0,
10/16/1984,_N500D,977.29,977.29,977.29,977.29,0,
10/17/1984,_N500D,979.09,979.09,979.09,979.09,0,
10/18/1984,_N500D,977.54,977.54,977.54,977.54,0,
