Date,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,USBond10Y,USEq
1786-07-31,,,,,,,,,0.0575812,
1786-08-31,,,,,,,,,0.0575812,
1786-09-30,,,,,,,,,0.0575812,
1786-10-31,,,,,,,,,0.0575812,
1786-11-30,,,,,,,,,0.0575812,
1786-12-31,,,,,,,,,0.0575812,
1787-01-31,,,,,,,,,0.0575812,
1787-02-28,,,,,,,,,0.0556619,
1787-03-31,,,,,,,,,0.0556619,
1787-04-30,,,,,,,,,0.0556619,
1787-05-31,,,,,,,,,0.0556619,
1787-06-30,,,,,,,,,0.0556619,
1787-07-31,,,,,,,,,0.0556619,
1787-08-31,,,,,,,,,0.0556619,
1787-09-30,,,,,,,,,0.0556619,
1787-10-31,,,,,,,,,0.0556619,
1787-11-30,,,,,,,,,0.0556619,
1787-12-31,,,,,,,,,0.0556619,
1788-01-31,,,,,,,,,0.0556619,
1788-02-29,,,,,,,,,0.0556619,
1788-03-31,,,,,,,,,0.0374278,
1788-04-30,,,,,,,,,0.0403069,
1788-05-31,,,,,,,,,0.0403069,
1788-06-30,,,,,,,,,0.0403069,
1788-07-31,,,,,,,,,0.0403069,
1788-08-31,,,,,,,,,0.0403069,
1788-09-30,2.64E-12,,,,,,,,0.0403069,
1788-10-31,2.64E-12,,,,,,,,0.0403069,
1788-11-30,2.62E-12,,,,,,,,0.0403069,
1788-12-31,2.77E-12,,,,,,,,0.0403069,
1789-01-31,2.77E-12,,,,,,,,0.0409518,
1789-02-28,2.77E-12,,,,,,,,0.0409518,
1789-03-31,2.73E-12,,,,,,,,0.0409518,
1789-04-30,2.71E-12,,,,,,,,0.0441456,
1789-05-31,2.74E-12,,,,,,,,0.046065,
1789-06-30,2.86E-12,,,,,,,,0.046065,
1789-07-31,2.87E-12,,,,,,,,0.046065,
1789-08-31,2.87E-12,,,,,,,,0.046065,
1789-09-30,2.90E-12,,,,,,,,0.0575812,
1789-10-31,2.90E-12,,,,,,,,0.0639843,
1789-11-30,2.90E-12,,,,,,,,0.0671781,
1789-12-31,3.03E-12,,,,,,,,0.076775,
1790-01-31,3.03E-12,,,,,,,,0.076775,
1790-02-28,3.03E-12,,,,,,,,0.0748556,
1790-03-31,2.97E-12,,,,,,,,0.0690975,
1790-04-30,2.97E-12,,,,,,,,0.0729362,
1790-05-31,2.99E-12,,,,,,,,0.0806138,
1790-06-30,3.18E-12,,,,,,,,0.0806138,
1790-07-31,3.15E-12,,,,,,,,0.0844525,
1790-08-31,3.15E-12,,,,,,,,0.0863719,
1790-09-30,3.14E-12,,,,,,,,0.0959688,
1790-10-31,3.14E-12,,,,,,,,0.0767754,
1790-11-30,3.15E-12,,,,,,,,0.0785333,
1790-12-31,3.28E-12,,,,,,,,0.107692,
1791-01-31,3.29E-12,,,,,,,,0.0969228,
1791-02-28,3.29E-12,,,,,,,,0.0969228,
1791-03-31,3.28E-12,,,,,,,,0.0985655,
1791-04-30,3.28E-12,,,,,,,,0.1017634,
1791-05-31,3.28E-12,,,,,,,,0.1017634,
1791-06-30,3.28E-12,,,,,,,,0.1065486,
1791-07-31,3.40E-12,,,,,,,,0.1371356,
1791-08-31,3.41E-12,,,,,,,,0.1362017,
1791-09-30,3.42E-12,,,,,,,,0.1351776,
1791-10-31,3.42E-12,,,,,,,,0.14081,
1791-11-30,3.42E-12,,,,,,,,0.1445724,
1791-12-31,3.57E-12,,,,,,,,0.1509568,
1792-01-31,3.57E-12,,,,,,,,0.1727857,
1792-02-29,3.55E-12,,,,,,,,0.1628282,
1792-03-31,3.55E-12,,,,,,,,0.1400596,
1792-04-30,3.55E-12,,,,,,,,0.1345323,
1792-05-31,3.55E-12,,,,,,,,0.1518216,
1792-06-30,3.70E-12,,,,,,,,0.1498074,
1792-07-31,3.70E-12,,,,,,,,0.1459163,
1792-08-31,3.70E-12,,,,,,,,0.1517529,
1792-09-30,3.73E-12,,,,,,,,0.1535186,
1792-10-31,3.71E-12,,,,,,,,0.1501884,
1792-11-30,3.71E-12,,,,,,,,0.14663,
1792-12-31,3.71E-12,,,,,,,,0.1358049,
1793-01-31,3.71E-12,,,,,,,,0.1395859,
