Date,SPX INDEX,INDU INDEX,CCMP INDEX,RTY INDEX,BCOM INDEX,GBPUSD,CADUSD,AUDUSD,CHFUSD,EURUSD,JPYUSD,NOKUSD,NZDUSD,US2Y,US10Y,US5Y,US30Y,SEKUSD,GOLD,CRB
2019-02-08,2707.88,25106.33,7298.198,1506.394,80.0655,1.2944,0.7531,0.7088,0.9993,1.1323,0.009111,0.1158,0.674,2.465,2.6339,2.4445,2.9802,0.107811,1314.85,413.03
2019-02-07,2706.05,25169.53,7288.352,1505.625,80.0391,1.2952,0.7514,0.7101,0.9977,1.1341,0.009107,0.1163,0.6749,2.4795,2.6572,2.463,2.9947,0.107977,1310.0,413.47
2019-02-06,2731.61,25390.3,7375.281,1518.021,80.9856,1.2932,0.7568,0.7105,0.9975,1.1362,0.009093,0.1171,0.6776,2.5243,2.6946,2.5033,3.0329,0.108645,1312.4,413.47
2019-02-05,2737.7,25411.52,7402.084,1520.225,80.8806,1.2945,0.7619,0.7234,1.0001,1.1406,0.009094,0.1179,0.6896,2.5222,2.6983,2.51,3.0314,0.109713,1314.2,414.15
2019-02-04,2724.87,25239.37,7347.536,1517.536,81.1004,1.3037,0.7627,0.7226,1.0021,1.1438,0.009099,0.1182,0.6896,2.5364,2.7235,2.5352,3.0545,0.109859,1312.15,413.49
2019-02-01,2706.53,25063.89,7263.868,1502.054,80.965,1.3079,0.7633,0.725,1.0046,1.1456,0.009133,0.1185,0.69,2.5019,2.6842,2.5033,3.0253,0.110491,1318.7,412.94
2019-01-31,2704.1,24999.67,7281.737,1499.419,80.7252,1.3109,0.7619,0.7273,1.0057,1.1448,0.009186,0.1186,0.6916,2.4576,2.6293,2.4365,2.9956,0.110523,1323.25,412.83
2019-01-30,2681.05,25014.86,7183.08,1486.942,80.8822,1.3116,0.7604,0.7248,1.0058,1.148,0.009172,0.1187,0.6894,2.5081,2.6775,2.4833,3.0315,0.110557,1310.7,413.66
2019-01-29,2640.0,24579.96,7028.291,1471.448,80.5004,1.3066,0.7536,0.7155,1.0054,1.1433,0.009141,0.1177,0.6834,2.5726,2.7098,2.5452,3.04,0.110269,1307.55,412.99
2019-01-28,2643.85,24528.22,7085.685,1473.536,79.8671,1.3163,0.754,0.7166,1.008,1.1428,0.009145,0.1175,0.683,2.5897,2.744,2.5805,3.0662,0.110425,1302.15,412.47
2019-01-25,2664.76,24737.2,7164.864,1482.853,81.0693,1.3196,0.7566,0.7179,1.0068,1.1406,0.009129,0.1175,0.6839,2.6063,2.7585,2.5992,3.0662,0.110517,1293.9,411.62
2019-01-24,2642.33,24553.24,7073.461,1464.406,80.2096,1.3066,0.7489,0.7094,1.0036,1.1304,0.009121,0.1164,0.6763,2.5642,2.7157,2.5502,3.0339,0.110091,1283.7,411.35
2019-01-23,2638.7,24575.62,7025.768,1454.255,80.0749,1.3069,0.7495,0.7142,1.0054,1.1381,0.009123,0.1167,0.6788,2.5829,2.7409,2.5756,3.0617,0.110872,1279.8,411.52
2019-01-22,2632.9,24404.48,7020.356,1457.454,80.0891,1.2954,0.7488,0.7124,1.0027,1.136,0.009143,0.1163,0.6751,2.5869,2.7392,2.5773,3.0594,0.11078,1282.1,410.1
2019-01-18,2670.71,24706.35,7157.228,1482.501,81.3791,1.2872,0.7537,0.7168,1.0045,1.1363,0.009109,0.1168,0.6743,2.6139,2.7842,2.6231,3.0974,0.110783,1284.2,411.3
2019-01-17,2635.96,24370.1,7084.463,1467.249,80.4502,1.2986,0.7531,0.7193,1.0059,1.1389,0.009153,0.1169,0.6763,2.5637,2.7504,2.5707,3.0741,0.110877,1290.7,414.02
2019-01-16,2616.1,24207.16,7034.693,1454.697,80.2592,1.2885,0.7544,0.7168,1.0098,1.1392,0.009167,0.1171,0.6776,2.5409,2.7218,2.537,3.0711,0.111121,1292.3,412.31
2019-01-15,2610.3,24065.59,7023.834,1445.218,80.1043,1.2861,0.7538,0.7201,1.0123,1.1413,0.0092,0.1171,0.6817,2.5347,2.7112,2.5304,3.0734,0.111491,1294.4,411.24
2019-01-14,2582.61,23909.84,6905.916,1432.814,79.9021,1.2864,0.7528,0.7197,1.0194,1.1469,0.009246,0.117,0.6822,2.5347,2.7024,2.5237,3.0526,0.111744,1292.75,412.52
2019-01-11,2596.26,23995.95,6971.476,1447.385,79.6614,1.2844,0.7538,0.7215,1.0167,1.1469,0.009216,0.1172,0.6832,2.5408,2.7007,2.5288,3.0334,0.111952,1288.95,411.81
2019-01-10,2596.64,24001.92,6986.068,1445.432,79.489,1.2747,0.7553,0.7185,1.0158,1.15,0.009223,0.1179,0.678,2.5755,2.7421,2.5676,3.0627,0.112301,1291.9,411.0
2019-01-09,2584.96,23879.12,6957.077,1438.807,79.9122,1.2789,0.757,0.717,1.0262,1.1543,0.009245,0.1181,0.6788,2.5529,2.71,2.5475,3.0029,0.112747,1288.6,412.56
2019-01-08,2574.41,23787.45,6896.999,1426.552,78.9489,1.2717,0.7534,0.714,1.0191,1.1441,0.009196,0.1169,0.6723,2.5855,2.728,2.5795,3.0068,0.112023,1286.45,413.63
2019-01-07,2549.69,23531.35,6823.471,1405.365,78.5743,1.2777,0.7519,0.7148,1.0208,1.1474,0.009198,0.1172,0.6755,2.5406,2.696,2.5375,2.9878,0.112406,1292.2,413.58
2019-01-04,2531.94,23433.16,6738.857,1380.747,78.3352,1.2723,0.7477,0.7113,1.013,1.1395,0.009214,0.1161,0.6732,2.4937,2.6677,2.5008,2.981,0.111572,1279.9,412.94
2019-01-03,2447.89,22686.22,6463.504,1330.831,77.4544,1.2628,0.7414,0.7006,1.0134,1.1394,0.009289,0.1151,0.6693,2.3786,2.5535,2.3579,2.9025,0.111096,1290.45,410.92
2019-01-02,2510.03,23346.24,6665.938,1355.906,76.9851,1.2607,0.7362,0.6985,1.01,1.1344,0.009185,0.1147,0.6655,2.4676,2.6204,2.4577,2.9518,0.110915,1282.9,409.43
2018-12-28,2485.74,23062.4,6584.522,1337.923,77.5922,1.2699,0.7332,0.7047,1.0161,1.1444,0.009069,0.1148,0.6718,2.5161,2.7182,2.5547,3.0222,0.111543,1279.0,408.65
2018-12-27,2488.83,23138.82,6579.492,1331.817,77.8029,1.2644,0.7343,0.7033,1.0123,1.143,0.009011,0.114,0.6702,2.5625,2.7666,2.6166,3.056,0.110984,1268.0,409.95
2018-12-21,2416.62,22445.37,6332.995,1292.086,78.6952,1.2645,0.7351,0.704,1.0049,1.1372,0.00899,0.1141,0.6728,2.6389,2.7902,2.6386,3.0308,0.110581,1258.15,410.8
2018-12-20,2467.42,22859.6,6528.407,1326.002,78.8092,1.2656,0.7404,0.7108,1.0121,1.1446,0.008986,0.1151,0.6776,2.6706,2.8065,2.6677,3.0484,0.111416,1259.75,411.74
