,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,USBond10Y,USEq,BAB,CS,UMD_Large,UMD_Small
1943-05-31,0.31291047814915923,-0.08457312000755313,-0.208966212207979,0.8317073306498216,-0.7008948120213626,-1.7503093336952251,-0.32638988889158016,0.3051479248135595,-0.8276957419877763,-1.5087694514653893,-0.5614133179329976,,,
1943-06-30,0.29814652995761604,-0.28672501281747753,0.046219767146158816,0.5939869983677599,-0.5864359041150428,-1.776466790768433,-0.6778037266420395,0.34785988847182286,-0.6049016865558142,-1.132509367177752,-0.37280477355140457,,,
1943-07-31,0.28990341955244786,-0.39302808443446074,-0.050371646740171215,0.6228482663132282,-0.40230322166816246,-1.7049773280952922,-0.7160216423270809,0.23288187431927695,-0.6473296757366251,-0.9832422200996396,-0.6091916565405273,,,
1943-08-31,1.0598772539634727,-0.34126068246811786,-0.18801184126773343,0.7342143416574609,-0.27294426121626875,-1.8214932061583968,-0.7145378438595712,0.3475240880948457,-0.662221256854493,-1.1657499275920735,-0.8045267048514625,,,
1943-09-30,0.8657537647312504,-0.35305190597707,-0.1649739625075193,0.6785959816513394,-0.32055856188453863,-1.710489391574756,-0.745802665532064,0.43558716684170434,-0.7805410063465967,-0.9759043498462132,-0.9374146228684633,,,
1943-10-31,0.7857004499100229,-0.3581483904476825,-0.27436160330322,0.6953298859022311,-0.49728259544556314,-1.5613204578540096,-0.8292851404498842,0.5098028057791019,-0.7567942139751614,-0.8219019851394763,-0.7693881943137103,,,
1943-11-30,0.7513569914125959,-0.3555827879258342,0.14276390023111207,0.5756257954175324,-0.47552822788654736,-1.5576721432503224,-0.8266289607717506,0.48400692687102226,-0.6794493304527806,-0.7963057629801553,-0.8387121191645025,,,
1943-12-31,1.0837688406419397,-0.37652558061341457,-0.17395143308416872,0.6350934271433097,-0.5544732874887318,-1.559278891774871,-0.8223945559323663,0.31929341224982927,-0.81357355706833,-1.0051717793922066,-0.9612128722401011,,,
1944-01-31,0.729949813471415,-0.3292497341129604,0.07658660461935744,0.6802151194761613,-0.627719025178179,-1.8538114323320483,-0.8008808737563538,0.3388306485307222,-0.8977141423135725,-0.43992011782022883,-1.02313197742978,,,
1944-02-29,0.6056571083289698,-0.37263283253198065,-0.053162710538676335,0.7633602115148882,-0.6168986613944389,-1.851694583416539,-0.8210621805488392,0.3607821525933036,-0.7536027447150448,-0.43906962378932557,-1.0880198291931809,,,
1944-03-31,0.47684869938321106,-0.3697784145828977,-0.33843622738034,0.7833478150615033,-0.815707325725704,-1.8784733298548864,-0.8090285058992961,0.29017153830878856,-1.0194577090677888,-0.46741005848451683,-1.2140270328346259,,,
1944-04-30,0.5390518296098233,-0.5197533374489334,-0.35194667204172286,0.7747979021246969,-0.9969776427011027,-1.8858722998648898,-0.3542365398213333,0.20172788946306508,-0.9570629840284528,-0.35385601181860216,-0.9185621771853866,,,
1944-05-31,0.5435232695546544,-0.49414235338839935,-0.42443155234068547,0.7005144819006975,-1.044854888280585,-1.825454832742026,-0.5523881019575702,0.22619002682364367,-1.0681882383945198,-0.567838051131613,-1.099259922868975,,,
1944-06-30,0.4810335835572265,-0.6548666955441987,-0.06437104854352069,0.6811045235917286,-0.8828313652970564,-1.8438003166041705,-0.8353222425520516,0.37223909881963274,-0.8909775248890087,-0.5420260812769602,-1.2017154058142925,,,
