,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
all-weather (star) MC_Iter_0,-0.001433310271884922,0.021311536782112978,-0.06752557808669563,0.18078912125565916,-0.019414884993173377,-0.06734177524981463,-0.022114582671907954,-0.16379397289552966,34.875,11.86875
all-weather (star) MC_Iter_1,0.012523399948622076,0.07190594769712469,16.74288407598323,304.84756611041905,0.050276705634709436,0.19236424628968152,-0.015232298022710372,-0.1084896009149926,34.875,11.86875
all-weather (star) MC_Iter_2,0.002977407488103617,0.023118148581651916,0.08504220581849094,0.10169315525042011,0.03717873446206994,0.1292839963269281,-0.017824265702661383,-0.06946735188633613,34.875,11.86875
all-weather (star) MC_Iter_3,-0.0021770749197014528,0.019202495428959816,-0.14435645640195943,-0.07746463967996364,-0.03272842312567351,-0.11387070357538029,-0.022730178665750285,-0.11999821262397381,34.875,11.86875
all-weather (star) MC_Iter_4,0.016844344613420128,0.07515387197596855,16.30979793151423,294.61790467207163,0.06470117002082514,0.22387701805693028,-0.01162781209605028,-0.08436230693891589,34.875,11.86875
all-weather (star) MC_Iter_5,0.005274476498513928,0.01974976356892299,-0.055972879671108415,0.002849532860728754,0.07709511092687567,0.2687786860329236,-0.015310603243028608,-0.0675354400818815,34.875,11.86875
all-weather (star) MC_Iter_6,0.0021775050133476456,0.018784437327458114,-0.13921555769463906,0.1873387550887724,0.03346342197272893,0.11579145982629752,-0.01835177761521616,-0.08687755740592329,34.875,11.86875
all-weather (star) MC_Iter_7,0.00762302938601986,0.07231172157824528,16.893072707283004,308.6741859002869,0.030431844049630993,0.12178703707387242,-0.020220448230394636,-0.13449457061630432,34.875,11.86875
all-weather (star) MC_Iter_8,-0.006837831256077348,0.019711609893816498,0.13550438916250623,0.2585586130256421,-0.10013955576525281,-0.34894416280626284,-0.027420652602986352,-0.22589410296365853,34.875,11.86875
all-weather (star) MC_Iter_9,0.0020933570870634594,0.019786013668461163,0.08246089755277941,0.043560815045449175,0.03054178314989754,0.10609956518185604,-0.018493872418269337,-0.06494866642276897,34.875,11.86875
all-weather (star) MC_Iter_10,0.025479391843152087,0.10342067124402583,12.391144713482507,160.5539713294305,0.07111989103571777,0.2735498308869027,-0.010564361017695222,-0.0988564637981253,34.875,11.86875
all-weather (star) MC_Iter_11,0.0018393594722075164,0.07810177329072795,15.788156692547743,281.57850725543443,0.006798531209159946,0.02485864202422166,-0.027310471014526886,-0.22926604467276457,34.875,11.86875
all-weather (star) MC_Iter_12,0.014368289522110746,0.07409772668111993,16.50076969540316,299.1804158021048,0.05597699278336172,0.20733786640097202,-0.013867420126854182,-0.1316302256852211,34.875,11.86875
all-weather (star) MC_Iter_13,-0.0009183330023084418,0.01972185150302495,-0.04995111259292293,0.32267130056115567,-0.013441937893284859,-0.046593552511177846,-0.021501760142369493,-0.09501005504820481,34.875,11.86875
all-weather (star) MC_Iter_14,0.0011831316685478733,0.018394371191335787,-0.02897578871238846,0.5641979228827081,0.018567674323236295,0.06432733823780466,-0.019324397668739092,-0.10666999282945766,34.875,11.86875
all-weather (star) MC_Iter_15,-0.003975378726238646,0.021201402521719804,0.08955189226402258,-0.2932175763706897,-0.0541281638177778,-0.18788529926648162,-0.02464962792957063,-0.18507796338111548,34.875,11.86875
all-weather (star) MC_Iter_16,0.008236231619227615,0.07531601285370997,16.370679228917833,295.67172604847684,0.031568257282189205,0.12603668887426842,-0.02027252106904269,-0.14347051313887527,34.875,11.86875
all-weather (star) MC_Iter_17,0.028687084421279298,0.1047728709384047,12.547440980456185,163.25913411748348,0.07904000226656052,0.2935141385250383,-0.0077789473057341164,-0.08160082329578389,34.875,11.86875
all-weather (star) MC_Iter_18,0.008753934110919607,0.02545643492203981,0.097591687321016,-0.030038414886275788,0.0992693248462676,0.35093642092029154,-0.012218111007490465,-0.08743624993213328,34.875,11.86875
all-weather (star) MC_Iter_19,0.023033503270482928,0.1037008244332304,12.599671342184532,164.24357140203895,0.06411906263173371,0.2520943739727162,-0.013097288211714585,-0.12195771761947394,34.875,11.86875
all-weather (star) MC_Iter_20,-0.000708221156229956,0.019000887920677095,-0.1205193654713968,0.04289749071486648,-0.010759804407619027,-0.03730734198408156,-0.021249771768891153,-0.12383132895742632,34.875,11.86875
all-weather (star) MC_Iter_21,-0.0007641545699491088,0.02108522830776455,0.024066044796666748,0.10244437562414888,-0.010461941417540548,-0.036241706840053206,-0.02143103484913494,-0.14115517622045892,34.875,11.86875
all-weather (star) MC_Iter_22,0.02085080532078367,0.1027816342045618,12.535631131291712,163.0208366559251,0.05856210673210252,0.23318184830864866,-0.01499529117385685,-0.13897590769110835,34.875,11.86875
all-weather (star) MC_Iter_23,0.021411110635826784,0.10646493910155864,12.533699374695098,163.1187000032215,0.05805531188747225,0.23133104772350774,-0.015591064251021101,-0.1831565295363219,34.875,11.86875
all-weather (star) MC_Iter_24,0.012000553216026316,0.07358128843694474,16.56607012120746,300.4003528655815,0.04708073735100873,0.18277641204947112,-0.01612075579603497,-0.09099505371116356,34.875,11.86875
all-weather (star) MC_Iter_25,0.0051800801787277514,0.020819259470260084,0.06587492317043138,-0.06785373318238186,0.07182581805766193,0.2514605835425048,-0.01547008216860727,-0.059018519695241634,34.875,11.86875
all-weather (star) MC_Iter_26,0.0012090815223057493,0.01879211135091318,0.013199189961025254,-0.1592598733245043,0.018573313273324798,0.06438401128314321,-0.019320633651231933,-0.15751164873797374,34.875,11.86875
all-weather (star) MC_Iter_27,0.011886511417432227,0.07573296052186165,16.701305741470605,303.6159229490904,0.04530841339946708,0.17709416747010315,-0.016716710546676557,-0.12731491865650124,34.875,11.86875
all-weather (star) MC_Iter_28,0.011620332996803115,0.07166433317762584,16.215260862372574,292.289289098107,0.046808517475133433,0.1818172429167173,-0.01608333197788753,-0.1667946921986535,34.875,11.86875
all-weather (star) MC_Iter_29,0.00934217188749766,0.07399976140157519,16.666041592591743,302.8958487614961,0.03644407327742894,0.1453739676201097,-0.018871775143737425,-0.08778885417558868,34.875,11.86875
all-weather (star) MC_Iter_30,0.014596574924406148,0.07508298703175123,16.829371224230446,306.8025452021101,0.05612014648730386,0.2074076626761204,-0.013859607488009037,-0.08727203732153199,34.875,11.86875
all-weather (star) MC_Iter_31,0.011002268783867527,0.07192840338348223,16.594913201045596,301.23776688007996,0.04415615073642282,0.17320072921573237,-0.01675827403607788,-0.13970940623013828,34.875,11.86875
all-weather (star) MC_Iter_32,0.012878567304634245,0.07495704871271307,16.25402641225394,293.25253911635895,0.049598032658709844,0.1904432364066503,-0.015549271422945814,-0.1266145093340446,34.875,11.86875
all-weather (star) MC_Iter_33,0.011486882129583244,0.0754155532380489,16.605142318930504,301.5088586202918,0.04396940819840338,0.1725691391242626,-0.017044376375718238,-0.14335409368582408,34.875,11.86875
all-weather (star) MC_Iter_34,-0.0004025403592173498,0.018623185712580682,-0.11605575070595918,0.290120967178094,-0.006239716135054858,-0.021625188046968655,-0.020922774928345253,-0.10306312276616991,34.875,11.86875
all-weather (star) MC_Iter_35,0.012297898345063792,0.07276849764575502,16.718537171439614,304.20119123363645,0.04878618598499694,0.18800659568710698,-0.01564498302936659,-0.09622585283755547,34.875,11.86875
all-weather (star) MC_Iter_36,0.010271272507175909,0.07462878014765348,16.75202082090535,304.86555979180747,0.039730797791450105,0.15772776154300958,-0.018082909732314287,-0.13108366161970542,34.875,11.86875
all-weather (star) MC_Iter_37,-0.0016985597819128857,0.019052122896140316,0.14041449506632517,0.07847761183881419,-0.025736343206161683,-0.08905355853844735,-0.022243034862187337,-0.14171812248752313,34.875,11.86875
all-weather (star) MC_Iter_38,0.01500023055242837,0.07314298381455575,16.611985045187428,301.53606954990784,0.05920176273713567,0.21423539014945245,-0.013024613569516176,-0.0665179424675767,34.875,11.86875
all-weather (star) MC_Iter_39,6.069401704249223e-06,0.020215932510089123,0.19594529558608606,0.0012912793351711471,8.666853992561171e-05,0.0003002315761802298,-0.020606956489174467,-0.1399898619149902,34.875,11.86875
all-weather (star) MC_Iter_40,0.00021424392172511526,0.018827630130848236,-0.1593032412134422,0.011309809063572374,0.0032849005695509605,0.011375974910669029,-0.02031747556279092,-0.12998902792202038,34.875,11.86875
all-weather (star) MC_Iter_41,0.013612478347710169,0.07359966229877002,16.25075190505815,292.7791302865276,0.053391332194466866,0.2012122888366721,-0.014512887088029315,-0.08221069337967701,34.875,11.86875
