,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
risk_parity MC_Iter_0,0.04847604700915918,0.16070409244009196,12.648013814878388,164.6424913442491,0.08707823915691625,0.3085971208345362,-0.010262660981331249,-0.040753076037956415,4.770522083145982,1.6582692047738754
risk_parity MC_Iter_1,0.042250275872275075,0.15475324946032917,12.568822971968443,165.15926463313897,0.07881323407831618,0.2916610941546747,-0.013672576455521234,-0.08843944178745422,4.685654957056545,1.6462146251718848
risk_parity MC_Iter_2,0.025591878808960765,0.10461469699476561,14.831566871672665,238.23757294436803,0.07061855811789555,0.24906860488960034,-0.010824473431999167,-0.09010853491918602,5.006804771963175,1.6695630890980606
risk_parity MC_Iter_3,0.03312983397175274,0.15196891830550574,13.43225865121862,192.3277925658503,0.06293233766179301,0.24266753219472104,-0.021511994224665477,-0.17190411316655274,5.74359533929789,1.671302469417498
risk_parity MC_Iter_4,0.028431721787262196,0.15589487272083805,10.650661864382824,146.21846849940323,0.05264785794717872,0.20522104060507776,-0.028023095223707245,-0.24276519131687124,4.1354079569303295,1.631534144200377
risk_parity MC_Iter_5,0.04229765408677354,0.14502301586713498,13.443108598324459,190.81954388390182,0.08419547003305199,0.2880912576749261,-0.009249858610025388,-0.05287464808599096,4.605603412341137,1.6331475684666437
risk_parity MC_Iter_6,0.02994030901073412,0.12018532976982316,11.923491904490698,145.9726598564511,0.07191412421163987,0.2803466041775367,-0.011726461227087592,-0.12919687197583796,5.323702349022781,1.6640314267016934
risk_parity MC_Iter_7,0.04312640449622545,0.1600568574368141,13.166638851437698,183.0308410844492,0.07778186340721416,0.2820230994171655,-0.015300891922597506,-0.09382426462564974,5.259677631733827,1.677049177435398
risk_parity MC_Iter_8,0.020281307585116502,0.08596854152880012,13.487547104127296,203.56934603805718,0.06810292570720108,0.25129689968024455,-0.010804577613767045,-0.10767928032362428,4.058052222130903,1.6474223683066196
risk_parity MC_Iter_9,0.029669032055217072,0.12009982133026785,11.881332850345846,146.18888985172322,0.0713132769638776,0.2779376079460162,-0.011966918570126318,-0.14900747048462348,3.091505990626716,1.5923526778272605
