,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1927-08-31,1.0,,,,,,,,,,,,,
1927-09-30,1.0,,,,,,,,,,,,,
1927-10-31,1.0,,,,,,,,,,,,,
1927-11-30,1.0,,,,,,,,,,,,,
1927-12-31,1.0,,,,,,,,,,,,,
1928-01-31,0.996532827069013,,,,,,,,,,,,,
1928-02-29,0.9892506465784814,,,,,,,,,,,,,
1928-03-31,1.0566673110580251,,,,,,,,,,,,,
1928-04-30,1.0856575961742982,,,,,,,,,,,,,
1928-05-31,1.0919108042624557,,,,,,,,,,,,,
1928-06-30,1.066541161998784,,,,,,,,,,,,,
1928-07-31,1.0668748056992798,,,,,,,,,,,,,
1928-08-31,1.1211818651927092,,,,,,,,,,,,,
1928-09-30,1.1385197400505138,,,,,,,,,,,,,
1928-10-31,1.1643839597273575,,,,,,,,,,,,,
1928-11-30,1.2575509369936124,,,,,,,,,,,,,
1928-12-31,1.2605005698158436,,,,,,,,,,,,,
1929-01-31,1.2995928622257038,,,,,,,,,,,,,
1929-02-28,1.2873394344306046,,,,,,,,,,,,,
1929-03-31,1.2784289042151362,,,,,,,,,,,,,
1929-04-30,1.3154972407242747,,,,,,,,,,,,,
1929-05-31,1.2685082043460594,,,,,,,,,,,,,
1929-06-30,1.3673312824854575,,,,,,,,,,,,,
1929-07-31,1.4084213671527426,,,,,,,,,,,,,
1929-08-31,1.4962480818388768,,,,,,,,,,,,,
1929-10-31,1.3247195216530954,,,,,,,,,,,,,
1929-11-30,1.2312914068390048,,,,,,,,,,,,,
1929-12-31,1.2451799159781816,,,,,,,,,,,,,
1930-01-31,1.289827634054863,,,,,,,,,,,,,
1930-02-28,1.315459515442819,,,,,,,,,,,,,
1930-03-31,1.3853101494372193,,,,,,,,,,,,,
1930-04-30,1.388260004631583,,,,,,,,,,,,,
1930-05-31,1.3815855243366357,,,,,,,,,,,,,
1930-06-30,1.241644770478274,,,,,,,,,,,,,
1930-07-31,1.2719731564311916,,,,,,,,,,,,,
1930-08-31,1.278725869591352,,,,,,,,,,,,,
1930-09-30,1.1847245714700034,,,,,,,,,,,,,
1930-10-31,1.137733818443855,,,,,,,,,,,,,
1930-11-30,1.1275572475429945,,,,,,,,,,,,,
